,Unnamed: 0,Unnamed: 1,CarryOut Express Groody,Full Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,,,,,,,Start Dept: A
1,,,,,,,,,,,,End Dept: Z
176,5060608749423,270141,BPM FOCUS BOTTLE 500ML,BPM FOCUS BOTTLE 500ML PM1.30,BARRYS,,,,0,0,17,
177,,,PM1.30,PM1.30 ,,,,,,,,
178,,,,,,,,,,,,
179,5449000000439,65269,COCA COLA 1.5L,COCA COLA 1.5L ,BARRYS,,,,60,0,67,
180,,,,,,,,,,,,
181,5449000054227,65305,COCA COLA 1L,COCA COLA 1L ,BARRYS,,,,0,0,39,
182,,,,,,,,,,,,
183,5449000000996,63004,COCA COLA CAN 330ML,,BARRYS,,,,24,0,62,
184,5449000000446,260693,COCA COLA CANS 330ML 4,COCA COLA CANS 330ML 4 PACK,BARRYS,,,,0,0,9,
185,,,PACK,PACK ,,,,,,,,
186,,,,,,,,,,,,
187,5449000133328,65307,COCA COLA ZERO 1L,COCA COLA ZERO 1L ,BARRYS,,,,60,0,46,
188,,,,,,,,,,,,
189,5449000131843,65265,COCA COLA ZERO 2L,COCA COLA ZERO 2L ,BARRYS,,,,40,0,17,
190,,,,,,,,,,,,
191,5449000131805,63016,COCA COLA ZERO CAN 330ML,,BARRYS,,,,0,0,79,
192,5449000131836,65264,COCA COLA ZERO CONTOUR,COCA COLA ZERO CONTOUR BOTTLE 500ML,BARRYS,,,,0,0,8,
193,,,BOTTLE 500ML,BOTTLE 500ML ,,,,,,,,
194,,,,,,,,,,,,
195,5449000215734,65340,FANTA LEMON 1.75L,FANTA LEMON 1.75L ,BARRYS,,,,40,0,22,
196,,,,,,,,,,,,
197,5449000010728,65031,FANTA LEMON CAN 330ML,,BARRYS,,,,48,0,38,
198,54492493,65003,FANTA LEMON CONTOUR,FANTA LEMON CONTOUR BOTTLE 500ML,BARRYS,,,,0,0,31,
199,,,BOTTLE 500ML,BOTTLE 500ML ,,,,,,,,
200,,,,,,,,,,,,
201,5449000132499,65342,FANTA ORANGE 1.75L,FANTA ORANGE 1.75L ,BARRYS,,,,32,0,47,
202,,,,,,,,,,,,
203,5449000006271,65270,FANTA ORANGE 1L,FANTA ORANGE 1L ,BARRYS,,,,36,0,14,
204,,,,,,,,,,,,
205,5449000011527,63002,FANTA ORANGE CAN 330ML,,BARRYS,,,,0,0,21,
206,40822938,65013,FANTA ORANGE CONTOUR,FANTA ORANGE CONTOUR BOTTLE 500ML,BARRYS,,,,24,0,13,
207,,,BOTTLE 500ML,,,,,,,,,
208,5099195002505,65480,ISHKA SPRING WATER FLAT CAP,ISHKA SPRING WATER FLAT CAP 500ML,BARRYS,,,,0,0,40,
209,,,500ML,,,,,,,,,
210,5054267000162,656080,LUCOZADE ENERGY ORANGE,LUCOZADE ENERGY ORANGE 380ML,BARRYS,,,,24,0,57,
211,,,380ML,,,,,,,,,
212,5054267000216,65621,LUCOZADE ENERGY ORANGE,LUCOZADE ENERGY ORANGE 500ML,BARRYS,,,,24,0,36,
213,,,500ML,,,,,,,,,
214,5054267000438,65606,LUCOZADE ENERGY ORIGINAL,,BARRYS,,,,48,0,63,
215,Created using Rs-BackOffice v122.10.6 - www.RetailSolutions.ie,,,,,,,,,,Page : 3 / ,15
216,TILL 01 GROO-07/04/2023 00:50:32,,,,,,,,,,,
217,Barcode,Stock Code,Description,Description 380ML,Supplier,,Location,,On Order,Reserved,On Hand,
218,,,380ML,,,,,,,,,
219,5054267012578,260823,LUCOZADE SPORT ORANGE,LUCOZADE SPORT ORANGE 500ML PM1.80,BARRYS,,,,24,0,25,
220,,,500ML PM1.80,500ML PM1.80 ,,,,,,,,
221,,,,,,,,,,,,
222,5011026008203,65146,MI WADI BLACKCURRANT 1L,,BARRYS,,,,0,0,60,
223,5011026008227,65147,MI WADI BLACKCURRANT NAS,MI WADI BLACKCURRANT NAS 1L,BARRYS,,,,0,0,33,
224,,,1L,1L ,,,,,,,,
225,,,,,,,,,,,,
226,5011026701760,65210,MI WADI LIME NAS 1L,MI WADI LIME NAS 1L ,BARRYS,,,,0,0,32,
227,,,,,,,,,,,,
228,5011026008210,65143,MI WADI ORANGE NAS 1L,,BARRYS,,,,0,0,21,
229,5060166696795,261094,MONSTER ENERGY ABZERO,MONSTER ENERGY ABZERO 500ML,BARRYS,,,,0,0,21,
230,,,500ML,,,,,,,,,
231,5060166690007,63037,MONSTER ENERGY GREEN,MONSTER ENERGY GREEN 500ML,BARRYS,,,,0,0,23,
232,,,500ML,,,,,,,,,
233,5060517885137,63157,MONSTER ENERGY MANGO,MONSTER ENERGY MANGO LOCO 500ML,BARRYS,,,,0,0,41,
234,,,LOCO 500ML,LOCO 500ML ,,,,,,,,
235,,,,,,,,,,,,
236,5060751211266,63193,MONSTER ENERGY MULE 500ML,,BARRYS,,,,0,0,9,
237,5060639122899,63050,MONSTER ENERGY PACIFIC,MONSTER ENERGY PACIFIC PUNCH 500ML,BARRYS,,,,0,0,20,
238,,,PUNCH 500ML,,,,,,,,,
239,5060517882976,63156,MONSTER ENERGY PIPELINE,MONSTER ENERGY PIPELINE PUNCH 500ML,BARRYS,,,,0,0,35,
240,,,PUNCH 500ML,,,,,,,,,
241,5060896623832,1400751,MONSTER ENERGY ULTRA,MONSTER ENERGY ULTRA GOLD 500ML,BARRYS,,,,0,0,29,
242,,,GOLD 500ML,,,,,,,,,
243,5060335635457,261091,MONSTER ENERGY ULTRA RED,MONSTER ENERGY ULTRA RED 500ML,BARRYS,,,,0,0,35,
244,,,500ML,,,,,,,,,
245,5060517882884,63085,MONSTER ENERGY ULTRA,MONSTER ENERGY ULTRA VIOLET 500ML,BARRYS,,,,0,0,16,
246,,,VIOLET 500ML,,,,,,,,,
247,5060335635174,261093,MONSTER ENERGY ULTRA,MONSTER ENERGY ULTRA ZERO 500ML,BARRYS,,,,60,0,38,
248,,,ZERO 500ML,,,,,,,,,
249,5060751210764,1400363,MONSTER SUPERFUEL SUB,MONSTER SUPERFUEL SUB ZERO 568ML,BARRYS,,,,0,0,1,
250,,,ZERO 568ML,,,,,,,,,
251,5060751211518,1400467,MONSTER ULTRA WATERMELON,MONSTER ULTRA WATERMELON 500ML,BARRYS,,,,0,0,21,
252,,,500ML,,,,,,,,,
253,5060337503778,261118,MONSTER ULTRA ZERO CAN,MONSTER ULTRA ZERO CAN 500ML 4PK,BARRYS,,,,0,0,6,
254,,,500ML 4PK,500ML 4PK ,,,,,,,,
255,,,,,,,,,,,,
256,90162602,63025,RED BULL ENERGY CAN 250ML,,BARRYS,,,,0,0,33,
257,90446672,270078,RED BULL ENERGY CAN 250ML,RED BULL ENERGY CAN 250ML PM1.99,BARRYS,,,,72,0,4,
258,,,PM1.99,PM1.99 ,,,,,,,,
